instance,solver,time,n,len,obj_sm,obj_lr_ub,obj_lr
IN_32_4,ILP-SM-I,1200024,32,1382,2.8564428523289305,3.8565866955253485,2.929554679345584
IN_34_5,ILP-SM-II,450472,34,1461,2.405283789387023,3.25898904275571,2.540049797686703
IN_32_3,ILP-SM-II,312177,32,1313,2.883553042059595,3.9602570786190756,3.0413851154179854
IN_30_6,ILP-SM-II,203291,30,1191,2.846262307513933,3.302485116053971,2.851870442124737
IN_36_3,ILP-SM-I,1200037,36,1728,3.3859771575501987,4.234826231183717,3.50808548157772
IN_36_2,ILP-SM-I,1200023,36,1605,2.894627323626361,3.6944230512120524,2.960837148720368
IN_36_3,ILP-SM-II,1200002,36,1728,3.384348575447287,4.250604233569622,3.5095656449994355
IN_28_3,ILP-SM-I,191836,28,1200,3.1810999937107165,4.755316002656445,3.3335098923199
IN_28_9,ILP-SM-I,1077560,28,1285,3.083702313922744,3.606567960769712,3.135782699089264
IN_36_9,ILP-SM-II,1200002,36,1469,3.0808169856862304,3.741047965382001,3.137156517926852
IN_34_3,ILP-SM-II,376548,34,1400,2.6800071512801305,3.5795164775536534,2.8109547865781397
IN_30_8,ILP-SM-I,1200018,30,1277,2.936496205821292,3.516288653625491,2.9793814218270303
IN_24_1,ILP-SM-I,39986,24,1000,2.988000003565656,3.7835510722382826,2.866644524203728
IN_28_7,ILP-SM-I,1200049,28,1260,3.0053845930901857,4.188509894280054,3.1245078427215263
IN_28_6,ILP-SM-II,99783,28,1185,2.6958655670911322,3.267714902162026,2.634534307589827
IN_26_3,ILP-SM-II,32565,26,1204,2.942074359251448,4.227043442773745,2.838210759450914
IN_24_8,ILP-SM-II,16498,24,1097,3.1184464548448365,4.082715164201255,3.2873128513138212
IN_22_2,ILP-SM-I,5486,22,971,3.1122800057530404,3.781292940109476,3.0060258224033567
IN_24_3,ILP-SM-I,40287,24,1048,3.2333867829082146,4.055901571916465,3.0706098256342953
IN_22_7,ILP-SM-II,5276,22,958,2.8380505010335133,3.797781439489457,2.80884885233442
IN_28_10,ILP-SM-II,613805,28,1328,3.376585183662397,5.058863673564748,3.3923683548429278
IN_30_4,ILP-SM-II,90350,30,1216,2.805024609629248,3.433550034912383,2.884739401831014
IN_20_2,ILP-SM-II,2063,20,801,2.96938268477902,4.313572644259312,3.086669998401809
IN_26_1,ILP-SM-II,84526,26,1099,3.151463644152338,3.941608227097771,3.1382120696437363
IN_26_4,ILP-SM-II,49111,26,1178,3.103847451242855,3.8684379976664687,2.974002846123493
IN_30_2,ILP-SM-II,762061,30,1401,2.969887346092244,3.931862711490124,3.036257495599828
IN_20_7,ILP-SM-I,3070,20,902,2.8996154311266573,3.5407351288164874,2.7279029482728014
IN_26_1,ILP-SM-I,765062,26,1099,3.151463644152338,3.9416082270977717,3.138212069643736
IN_20_4,ILP-SM-I,6619,20,828,2.6860465172418326,3.759230163052193,2.702619187121977
IN_28_2,ILP-SM-I,1200076,28,1305,3.0755338385365065,4.231266035184086,3.0954251737133904
IN_26_7,ILP-SM-II,66873,26,1105,3.0584954786408054,3.8626960282765395,3.0858189047231064
IN_24_6,ILP-SM-II,12467,24,918,2.8894086173945857,3.502679791773407,2.97494160049053
IN_30_7,ILP-SM-I,1200067,30,1282,3.2457131960017738,4.261743647263067,3.283151763924472
IN_30_4,ILP-SM-I,1200023,30,1216,2.805024609629248,3.433550034912383,2.8847394018310135
