instance,solver,time,n,len,obj_sm,obj_lr_ub,obj_lr
IN_30_7,ILP-SM-II,415908,30,1445,2.6993655295104815,3.2970197120117524,2.7872034145269002
IN_10_1,ILP-SM-II,75,10,371,3.3709487152405275,4.6283481000757,2.975688527759527
IN_25_6,ILP-SM-I,79759,25,1090,3.19257796529783,3.9627717629267396,3.2431357650444186
IN_20_3,ILP-SM-I,6572,20,914,2.9130515692774783,3.736836324970056,2.9417692879287083
IN_25_3,ILP-SM-II,25198,25,1093,2.735845476998524,3.456126556331678,2.7968069121208385
IN_20_5,ILP-SM-II,7718,20,951,3.189989695966858,3.8424311708560004,3.12355892251283
IN_15_4,ILP-SM-I,249,15,613,3.7926865796099847,4.502506540652176,3.591286227009635
IN_30_5,ILP-SM-I,1200034,30,1365,3.144919699865536,4.200013976046422,3.1964182170545974
IN_40_5,ILP-SM-I,1200019,40,1711,2.8154534977449233,3.727199602702424,3.0449860238602082
IN_20_5,ILP-SM-I,8004,20,951,3.189989695966858,3.8424311708560004,3.1235589225128297
IN_10_1,ILP-SM-I,67,10,371,3.3709487152405275,4.6283481000757,2.975688527759528
IN_10_7,ILP-SM-I,66,10,391,4.255243862947313,4.790320974875987,3.1654281823529713
IN_25_2,ILP-SM-II,26501,25,1150,2.838226098819919,3.7380600967578523,2.947517158103301
IN_15_3,ILP-SM-II,736,15,652,2.755462696458866,3.4040544679232276,2.754313058479486
IN_35_4,ILP-SM-II,315129,35,1463,2.8399932074709002,3.62074078836137,2.955903481948507
IN_25_1,ILP-SM-I,262526,25,1070,2.9624672909345584,4.096143756391316,3.086322063897384
IN_35_10,ILP-SM-I,1200025,35,1573,2.7843459199528273,3.7726284678707427,2.883960413849804
IN_10_8,ILP-SM-II,178,10,448,4.230782624787611,4.688716322996078,3.394091093700832
IN_10_2,ILP-SM-II,43,10,485,3.242918353178063,5.0013133587249685,2.781356603851854
IN_25_10,ILP-SM-I,284934,25,1090,2.8907090938633138,3.9733623528706894,3.015227986673754
IN_20_9,ILP-SM-I,2803,20,778,3.2771666633204006,3.953347292042524,3.1093381674180423
IN_10_5,ILP-SM-II,234,10,338,3.5252353065154134,3.925093100364594,3.332339535621642
IN_20_6,ILP-SM-II,8012,20,944,3.091239583911374,4.772204834212052,3.250143309348915
IN_15_10,ILP-SM-I,250,15,684,3.432071420912232,3.95294878487372,3.0848602134138554
