instance,obj_sm_imx8a,obj_lr_imx8a,obj_lr_ub_imx8a,power_imx8a,obj_sm_imx8b,obj_lr_imx8b,obj_lr_ub_imx8b,power_imx8b,obj_sm_tx2,obj_lr_tx2,obj_lr_ub_tx2,power_tx2
inst_0079,7.606015484505976,7.298110078194636,8.126969851530854,7.192909864050471,7.4826296831209,7.0913203091389825,7.738932539776874,7.147226403552967,5.053748317733692,4.853355806716863,5.566662865906763,5.080036363636364
inst_0118,7.315299238632045,6.856755730414551,7.076588427643426,7.193679648027171,6.923540322054964,6.627800410964318,6.831708004624075,6.888240129823919,4.766462251727983,4.676799745292736,5.022786574809951,4.9823272727272725
inst_0405,7.685492193643817,6.559517784424836,6.987971048724276,7.200466568149803,7.016507431396132,6.209421733841036,6.50461033259443,6.800395617117377,3.6195982644759184,3.493246108114434,3.811770264653119,3.7748333333333335
inst_0902,7.444135810284845,7.340558208103136,7.569894806006002,7.200994872430947,7.31122851305996,7.2300764164939775,7.44463868611864,7.184314196080333,5.315957637936592,5.204479549489733,5.70014115476082,5.451909090909092
inst_0714,7.322475568480502,6.588857227184764,6.7137008954136554,7.202570903337825,6.850637057539103,6.357456691624843,6.473123109268833,6.874976651022695,4.298183023116659,4.213770749415015,4.416797859476094,4.560927272727273
inst_0168,7.8312331036350775,6.970372492609712,9.029367401620362,7.202985526896364,7.136945700073015,6.640977385791804,8.3035806796477,6.907206924702035,4.438982091625976,4.1267527026668525,6.006737490721806,4.323309090909091
inst_0981,7.776738756578078,6.618195593699744,7.973494642004642,7.205632821679208,7.095352712307407,6.260775649324176,7.240149728615378,6.804861895968162,4.191167347199075,3.68150893190523,4.899186685910994,3.9875454545454554
inst_0848,7.378103116271012,7.335862452785921,7.900028352366977,7.205958544828392,7.325385671025224,7.235714154679503,7.771409878449436,7.212957255492508,5.74657939139596,5.5433308530184355,6.6291833758574885,5.794745454545455
inst_0839,7.9111165336334,6.92361324726045,7.905061924052004,7.21477766874046,7.286426620426704,6.511429846511555,7.280678973864022,6.879682444263952,4.185319648011448,4.0242012720972395,5.247659690284149,4.2216000000000005
inst_0969,8.069092544097522,7.026841901996018,10.56305569670603,7.217689942232319,7.447048779318184,6.744881651403039,9.856772247963704,6.929492820453078,5.21081670052779,4.671151981130443,9.559368051138938,5.077490909090908
inst_0272,7.6287514678133785,7.150024239161443,7.946828261535375,7.22492130581713,7.223424685374237,6.9001068209679985,7.583913696836187,6.985495006767647,4.6205771960750095,4.409200516897537,5.298773039267331,4.737
inst_0329,8.715533508115506,7.196344559828996,8.802042879810173,7.225466681358084,7.807609036322905,6.8083534955509375,8.084988230717439,6.950898386170105,4.381027725856001,4.223813368336617,5.785042784657243,4.441407407407408
inst_0336,7.4013043262615845,7.239044109480071,7.848957393483221,7.228691066956062,7.2786286181134985,7.1113084019217725,7.634083605570675,7.152047109118226,5.281517216530938,5.120954411592069,6.028621391238803,5.462436363636363
inst_0466,7.453431585406255,6.666869025475088,8.738694196993794,7.232964342917929,6.865235173697233,6.403578087734205,8.208901468429666,6.846534213514836,4.513004790321185,4.189197348323148,6.8081966853489675,4.542527272727273
inst_0565,8.017380212188348,7.1370531341175045,8.659822129586786,7.233280289329317,7.522769706588763,6.94089112621945,8.21711240711469,7.0792691658851385,5.1067626901482015,4.8831285721910005,6.723386291884529,5.068472727272727
inst_0703,8.04132556984552,7.103102759990011,8.163039865432951,7.234193739134477,7.6971238155893165,7.084718568332923,8.001653998850458,7.054010647558181,4.772668327869823,4.615744399149198,6.014320967285432,4.899872727272728
inst_0961,8.212180701927128,6.804390863041799,8.11967023119668,7.235084443629387,7.564842940377679,6.590817816466272,7.7095848829672295,6.979897302563437,4.558464609294704,4.382387584168236,5.855965941128602,4.693945454545455
inst_0397,7.7604995785372495,7.001409109526487,8.368507039068616,7.235786117562309,7.287410811646573,6.772881024080416,7.921871653005526,6.9553264993823465,4.729685171745968,4.576211610604509,6.394998958676361,4.839763636363637
inst_0624,7.8708586716892075,6.966672108964277,8.419468498180859,7.240704094815068,7.2450012048667425,6.752920180552578,8.05677095707659,7.041190813424917,4.77192133005586,4.45864840169402,6.517651683418627,4.505618181818182
inst_0912,9.15909611679933,6.712417039557051,9.480201235103287,7.242662055900252,8.246021817417681,6.388372327001246,8.687253984047132,6.950546283481318,5.511789871721617,4.422918928697479,8.636123179406596,4.725054545454546
inst_0523,8.629172387206474,7.16973600269061,9.107794117130773,7.244778244986212,8.089026618175323,7.018332212844355,8.509390378559514,7.108007494464568,5.03400676471162,4.852050979300419,7.129562766090443,5.11269090909091
inst_0317,7.878235628163052,6.933252154402759,8.17666308826862,7.246901840026983,7.581437222684318,6.8974821002710165,8.000238992191441,7.001426036119289,4.45817154188624,4.297217462807043,5.741880464528897,4.487927272727273
inst_0200,8.093385040583348,6.934466775548649,9.243855507588822,7.24744791297191,7.4180661542304565,6.571373197465025,8.438290517446347,6.9142244098899805,4.389673394809213,4.15987960963119,6.994729450921847,4.410218181818181
inst_0722,7.57858513264298,7.209473872409698,7.92791716522586,7.247631383563735,7.270133235881138,7.04133742539887,7.6806191686783,7.175122598897,5.797480890847838,5.743177713664906,6.927611238353423,6.044545454545455
inst_0074,8.146180655646614,7.150514612154602,9.609092413901323,7.248012564419546,7.709942146581096,7.016355281727335,9.143398201615177,6.28729697705118,5.190936050178933,5.059116242332277,8.384565942322544,4.869145454545454
inst_0072,7.444493961839556,6.614095982799625,6.688855529899335,7.248560259482401,6.9006649684071295,6.366256619377988,6.430217890984511,6.8658000571747575,4.551169559251887,4.301773715833116,4.43239450192411,4.632109090909091
inst_0412,7.725649722583963,6.6050388529458965,7.7492904884648,7.249683348877507,7.141644883941076,6.369803397893756,7.4017696680087415,6.960812282497635,4.808265436879854,4.345117057809406,6.188749119715253,4.7262545454545455
inst_0805,8.508847947207755,6.841678503316844,8.719306206979214,7.250821695011067,7.743405861584951,6.593392224310713,8.08131953590373,7.010612334233451,4.908324751918419,4.236755170631982,6.594112925433736,4.489481481481482
inst_0025,7.353612897041195,6.448176684536459,8.448890939999995,7.250829560289307,6.841782622043951,6.199448542355232,7.934664931317707,6.802228598313257,3.8828374127263423,3.603047945534467,5.666491496578965,3.942181818181818
inst_0404,8.228439564474478,6.777167428278553,8.066385743111946,7.254752570484308,7.440230192159255,6.4326747113828215,7.359007216550745,6.860150196619857,4.771985581206678,4.135241061378445,5.6105783559307065,4.408545454545455
inst_0502,7.7800851055165055,6.889016012483074,7.553335022807191,7.260935488204471,7.4118223474327305,6.735300141281301,7.3185994734868505,7.030123521262526,4.2563186924422,4.140583625285181,4.793239916345625,4.450218181818181
inst_0111,8.713399020197903,7.110500027465925,8.773846447184862,7.2611536834545,7.996549786310944,6.912958972060162,8.252613535024903,7.018851064154901,6.018671143563953,5.2354725141059255,7.2388788454078,5.611672727272728
inst_0376,7.11653430870327,6.91750236588982,7.334036710342487,7.262199956300959,6.736598139717009,6.551602660741278,6.893254536662831,7.002373602822243,4.050773694539298,3.8613841385155423,4.330320117058184,4.207090909090909
inst_0269,8.18790573927841,7.235021582404254,10.73133770955723,7.274306351548886,7.6471978813605475,7.014199344437982,9.897271624911628,7.0942344463021625,5.366751351721838,5.0444327881994155,9.192206556396174,5.313072727272727
inst_0470,8.509522587662818,7.204902934448395,9.411773993881283,7.280162580549898,7.793996218153792,7.0036632467151065,8.856874270264944,7.1057328734517125,5.411776723307382,5.254302433054495,7.830511629133227,5.447745454545455
inst_0658,8.525566915341113,7.210741255470598,10.420776501798787,7.28019417373321,7.771120208375926,6.8309745014385435,9.22224945064349,7.010577518154381,5.280565394880787,4.488675810729877,7.886790438225338,4.738722222222223
inst_0006,8.591387254626873,7.241697931007787,8.936188835467318,7.283802072946085,7.7536293166822485,6.8698596251247555,8.288110263425752,7.059972044947627,4.654398832611345,4.333430715304011,6.145863835630703,4.598036363636363
inst_0737,7.507795126825086,7.392907681535663,8.303061512985163,7.28528351071104,7.301000424165183,7.2402729858520445,8.085289967789102,7.279573627532853,5.417690670783848,5.3817198579372025,6.734331595619194,5.374666666666667
inst_0362,7.81880629932557,6.919257601389901,9.759725991487489,7.286454821165187,7.226832577558989,6.602442546093324,9.058030233667317,6.959539775318651,4.879536604073532,4.429772915859288,8.607656176300386,4.713181818181818
inst_0887,9.703533779898237,6.946009358101858,8.65993672588172,7.286899780339174,8.887504706980721,6.766238644021371,8.07003791943365,7.11977639354274,5.8884715375012515,4.651963254129923,7.593135860023404,4.8128909090909096
inst_0538,7.967693406172251,7.263498348340353,9.241140318259614,7.286972882671504,7.426805186536074,6.908557490544607,8.54532175447332,7.138738521166291,4.938159785077085,4.721776145569285,7.147526149285778,4.992545454545455
inst_0073,8.0732181949444,6.987149880655782,9.204129266462306,7.287070817151185,7.352562261734754,6.637682456357881,8.280977231576378,6.892206949476879,4.735928969846261,4.251855262643815,6.251318908622954,4.4447636363636365
inst_0041,7.671304216137458,6.603077339764735,8.491062441068278,7.290803848619613,7.087938774649055,6.3458493746759235,7.942779649955128,6.856817572036974,4.568214877851222,4.189977940969543,6.890603750969598,4.552581818181818
inst_0075,7.764862375776026,7.022292502823989,8.399407698192157,7.2934133205288125,7.267645254421241,6.79308058654777,8.021523346611747,6.941173973490501,4.698268805940104,4.4220816819024105,6.188615990539365,4.569927272727273
inst_0437,7.958007486506925,7.062504528200786,8.003901094603378,7.297835957042111,7.344493262421922,6.707296872815212,7.459956038286677,6.940214390920679,4.314001705043043,4.045284875459092,4.907538440865332,4.2747636363636365
