# Started at: 2021-04-23 20:52:13 +0000, Version: v0.1-129-g3cfe73e, Generated by: thermobench --verbose --fan-cmd=fan --fan-on=0 --time=1800 --wait=30 --wait-timeout=240 --sensors_file=/root/thermobench/src/sensors.imx8 --cpu-usage --column=CPU0_work_done --column=CPU1_work_done --column=CPU2_work_done --column=CPU3_work_done --column=CPU4_work_done --column=CPU5_work_done --column=work_done --output=/root/experiment8_out/Instance2/1/RALTF1.json.yaml.csv -- demos-sched -c /root/experiment8/Instance2/RALTF1.json.yaml
time/ms,CPU_0_temp/m°C,CPU_1_temp/m°C,GPU_0_temp/m°C,GPU_1_temp/m°C,DRC_temp/m°C,PMIC_temp/m°C,Cortex_A53_0_freq/Hz,Cortex_A53_1_freq/Hz,Cortex_A53_2_freq/Hz,Cortex_A53_3_freq/Hz,Cortex_A72_0_freq/Hz,Cortex_A72_1_freq/Hz,ambient/°C,cam_cpu,cam_mem,power/µW,CPU0_work_done,CPU1_work_done,CPU2_work_done,CPU3_work_done,CPU4_work_done,CPU5_work_done,work_done,CPU0_load/%,CPU1_load/%,CPU2_load/%,CPU3_load/%,CPU4_load/%,CPU5_load/%
81992.3,44400,46400,45200,44000,44000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8430118.601165975,,,,,,,,65.6566,53.5354,42,39,66,57.5758
82992.3,45000,46000,45400,44200,44200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8695881.158494402,,,,,,,,38,35,34.3434,34.3434,79.798,71.2871
83992.4,44800,46400,45400,44200,44400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8903482.833887601,,,,,,,,31,25,14,10.8911,83,75
84992.1,44800,47400,45800,44600,44600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,9061258.466522718,,,,,,,,55,47,36.6337,32.3232,69,65.6566
85992.5,44800,47200,45600,44400,44200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8509155.86496103,,,,,,,,61,54.4554,42,39,65.6566,57
86992.1,45400,47200,45800,44600,44400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8570065.39460813,,,,,,,,44.4444,41.4141,41.4141,38,79.2079,72
87992.5,45400,47500,46200,44800,44800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8794284.30514944,,,,,,,,31.6832,25.7426,14,14,83.8384,74.2574
88992.9,45000,47400,46000,44800,44800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,9175831.29651377,,,,,,,,48.5149,40,29.703,25,68.6275,65.3465
89991.9,45000,47500,46200,44800,45000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8726722.618323598,,,,,,,,61.6162,53.5354,42,38.3838,65.6566,57.1429
90992.2,46000,47900,46200,45000,45000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8960764.511252867,,,,,,,,51.4851,49,42,39.604,76,68.3168
91227,,,,,,,,,,,,,,67.44,63.43,,,,,,,,,,,,,,
91706.3,,,,,,,,,,,,,26.37,,,,,,,,,,,,,,,,
91992.6,46200,46800,46600,45200,45000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,9137021.643344708,,,,,,,,30.6122,26,20.202,24.7525,82.8283,74
92992.7,45400,47900,46600,45200,45400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,9131477.73813117,,,,,,,,41.4141,32.3232,22,18,73.2673,70
93991.8,45600,47900,46200,45000,45000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8825018.031936144,,,,,,,,61.7647,54,43,39,65,57
94992.8,45800,47200,46600,45400,45200,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8991725.143944092,,,,,,,,58.4158,53.5354,42,39,69.697,61.6162
95992.2,46200,47200,46800,45600,45400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,9164479.31039236,,,,,,,,31,27.7228,27,27,82,73.2673
96992.4,46000,48300,46800,45400,45600,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,9063442.548175886,,,,,,,,34.3434,26,15,12.1212,80.198,73
97992.4,46200,48500,47000,45600,45800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8903584.807229448,,,,,,,,62.3762,54,43,38,65.6566,62
98992.4,46000,48100,47000,45600,45400,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8689056.741195107,,,,,,,,61.6162,54,41.4141,38.3838,65.6566,58
99992.6,46600,47500,47000,45600,45800,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,8873451.865932794,,,,,,,,34,31.6832,32.6733,31.6832,79.2079,71
100992,46200,47700,47200,46000,46000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,9050312.237536943,,,,,,,,30.6122,25.2525,14,10.101,84,74
101369,,,,,,,,,,,,,,67.40,63.35,,,,,,,,,,,,,,
101766,,,,,,,,,,,,,26.38,,,,,,,,,,,,,,,,
101992,46600,49100,47200,45800,46000,70000,1.2e+06,1.2e+06,1.2e+06,1.2e+06,1.596e+06,1.596e+06,,,,9070345.632062906,,,,,,,,59.2233,50,38.3838,35.6436,68,67
