instance,solver,time,objective-reported,objective,length
IN_016.json-global.out,ILP Solver (global):predictor (Python),813,0.3500169392276924,0.35001693922769317,188
IN_017.json-bap.out,BAP,1585,1.2416188874153065,1.2416188874153065,132
IN_017.json-global.out,ILP Solver (global):predictor (Python),379,1.2416188874153062,1.2416188874153065,132
IN_018.json-bap.out,BAP,573,0.83955238971241,0.83955238971241,122
IN_018.json-global.out,ILP Solver (global):predictor (Python),144,0.8395523897124091,0.83955238971241,122
IN_019.json-bap.out,BAP,425,0.46847899410774924,0.46847899410774924,249
IN_019.json-global.out,ILP Solver (global):predictor (Python),5503,0.4684789941077433,0.46847899410774935,249
IN_020.json-bap.out,BAP,6994,1.417620676741282,1.417620676741282,103
IN_020.json-global.out,ILP Solver (global):predictor (Python),44,1.4176206767412818,1.417620676741282,103
IN_021.json-bap.out,BAP,922,0.5230922926745533,0.5230922926745533,265
IN_021.json-global.out,ILP Solver (global):predictor (Python),2222,0.5230922926745522,0.5230922926745533,265
IN_022.json-bap.out,BAP,6756,0.9697299383741957,0.9697299383741957,150
IN_022.json-global.out,ILP Solver (global):predictor (Python),200,0.9697299383741955,0.9697299383741957,150
IN_023.json-bap.out,BAP,599,0.9392450142539163,0.9392450142539163,118
IN_023.json-global.out,ILP Solver (global):predictor (Python),268,0.9392450142539162,0.9392450142539163,118
IN_024.json-bap.out,BAP,9190,0.6542404131776735,0.6542404131776735,168
IN_024.json-global.out,ILP Solver (global):predictor (Python),324,0.6542404131776736,0.6542404131776736,168
IN_025.json-bap.out,BAP,6873,1.5357207141834073,1.5357207141834073,155
IN_025.json-global.out,ILP Solver (global):predictor (Python),126,1.4416677679840904,1.4416677679840901,139
IN_026.json-bap.out,BAP,892,1.3114835349623781,1.3114835349623781,154
IN_026.json-global.out,ILP Solver (global):predictor (Python),201,1.311483534962378,1.3114835349623781,154
IN_027.json-bap.out,BAP,338,0.6332139626150292,0.6332139626150292,169
IN_027.json-global.out,ILP Solver (global):predictor (Python),434,0.6332139626150157,0.6332139626150292,169
IN_028.json-bap.out,BAP,348,0.7121997270075754,0.7121997270075754,141
IN_028.json-global.out,ILP Solver (global):predictor (Python),304,0.7121997270075741,0.7121997270075754,141
IN_029.json-bap.out,BAP,295,0.34944939238734585,0.34944939238734585,142
IN_029.json-global.out,ILP Solver (global):predictor (Python),745,0.3494493923873411,0.34944939238734585,142
IN_030.json-bap.out,BAP,77,-1,0.0,0
IN_030.json-global.out,ILP Solver (global):predictor (Python),7,-1,0.0,0
IN_031.json-bap.out,BAP,566,0.969737774394329,0.969737774394329,134
IN_031.json-global.out,ILP Solver (global):predictor (Python),295,0.9697377743943268,0.969737774394329,134
IN_032.json-bap.out,BAP,567,0.5259947694963099,0.5259947694963099,158
IN_032.json-global.out,ILP Solver (global):predictor (Python),941,0.5259947694963086,0.52599476949631,158
IN_033.json-bap.out,BAP,510,1.88213216074298,1.88213216074298,119
IN_033.json-global.out,ILP Solver (global):predictor (Python),15,1.8821321607429797,1.88213216074298,119
IN_034.json-bap.out,BAP,475,0.4700880752775439,0.4700880752775439,88
IN_034.json-global.out,ILP Solver (global):predictor (Python),592,0.4700880752775438,0.470088075277544,88
IN_035.json-bap.out,BAP,3883,0.5794126032267738,0.5794126032267738,129
IN_035.json-global.out,ILP Solver (global):predictor (Python),525,0.5794126032267739,0.5794126032267738,129
