benchmark,affinity,intercept,slope,exec_time,command,runtime
membench-4M-RO-S,Denver,0.8996418918918914,1.6576993243243248,0.235466981918239,/root/thermobench/build/benchmarks/mem/membench -t1 -f -s 4000000,1.0
membench-4M-RW-R,A57,0.49419481981981983,0.49055855855855857,4.366775223880597,/root/thermobench/build/benchmarks/mem/membench -t1 -f -r -w -s 4000000,0.7837118254715004
membench-4M-RW-R,Denver,0.42723986486486476,0.6722432432432432,5.571914423076922,/root/thermobench/build/benchmarks/mem/membench -t1 -f -r -w -s 4000000,1.0
membench-4M-RW-S,A57,1.2082747747747749,0.6489887387387387,0.6830508470319635,/root/thermobench/build/benchmarks/mem/membench -t1 -f -w -s 4000000,2.5174748003877903
membench-4M-RW-S,Denver,1.6273074324324326,2.0213817567567567,0.2713238070652174,/root/thermobench/build/benchmarks/mem/membench -t1 -f -w -s 4000000,1.0
pntrch-4K,A57,0.39952702702702725,0.761179054054054,0.11854647636363635,./pntrch-4K -v0 -c1 -i100,1.2488008866672606
pntrch-4K,Denver,0.31584121621621675,1.583672297297297,0.09492824487017099,./pntrch-4K -v0 -c1 -i100,1.0
pntrch-4M,A57,0.3952882882882891,0.7678231981981979,0.9853201088815791,./pntrch-4M -v0 -c1 -i1,1.417019473820599
pntrch-4M,Denver,0.43652364864864834,1.5450709459459464,0.695346907424594,./pntrch-4M -v0 -c1 -i1,1.0
puwmod-4K,A57,0.3207342342342345,0.691563063063063,0.0021880724780013717,./puwmod-4K -v0 -c1 -i100,1.737359421981111
puwmod-4K,Denver,0.3690304054054061,1.803689189189189,0.0012594241872567235,./puwmod-4K -v0 -c1 -i100,1.0
puwmod-4M,A57,0.5912038288288288,0.813394144144144,2.1047881063380283,./puwmod-4M -v0 -c1 -i100,1.8423871864959958
puwmod-4M,Denver,0.524418918918919,1.9898378378378379,1.1424244164122137,./puwmod-4M -v0 -c1 -i100,1.0
rspeed-4K,A57,0.41351689189189234,0.8402195945945944,0.0005844857149269343,./rspeed-4K -v0 -c1 -i100,0.8235944821577658
rspeed-4K,Denver,0.3943816422354556,1.235601408612002,0.0007096765794200302,./rspeed-4K -v0 -c1 -i100,1.0
