inst,littleSlope,littleIntercept,bigSlope,bigIntercept,powerOffset
28_0_0_0_26_0,0.7678231981981979,0.1912882882882893,2.0213817567567567,1.4233074324324329,2.222865909090909
28_13_0_0_31_27,1.688617117117117,0.3198490990991,2.819273705909299,0.3022228584516728,4.421877272727273
28_15_0_0_0_0,1.1124179378531067,0.23356473507405873,0.0,0.0,1.557257954545455
28_21_38_0_3_0,2.0144268018018017,0.4509954954954963,1.8105270270270264,0.1764729729729741,4.475979545454545
28_23_18_4_9_0,2.6551909299129637,0.8727583944113608,2.109983108108107,0.1584898648648667,4.782820454545456
28_24_0_0_0_0,1.2506587837837837,0.6727162162162167,0.0,0.0,3.0982579545454554
28_26_0_0_6_0,1.4168119369369365,1.1955630630630645,1.4536959459459462,0.3274358108108104,4.670388636363636
28_27_23_0_21_14,1.8973063063063058,0.6579943693693705,2.4283716216216202,0.9871993243243278,4.5925079545454555
28_28_0_0_0_0,1.5356463963963958,0.3825765765765786,0.0,0.0,2.6640534090909096
28_28_0_0_14_0,1.5356463963963958,0.3825765765765786,1.8287533783783785,0.1789695945945957,3.6443318181818185
28_2_23_0_22_0,1.8323288288288286,0.7684481981981993,2.855277027027027,-0.9534290540540532,4.3566613636363645
28_33_0_0_2_30,1.5674954954954954,0.3873423423423431,4.042709459459459,0.6125067567567575,4.195093181818184
28_4_0_0_27_5,1.6602583027943194,0.4989207512597353,3.0774493243243244,0.2541993243243245,4.227627272727274
28_4_34_37_37_38,3.2307110054970223,0.913836291800276,2.9688040540540532,0.34335135135135353,6.9547806818181845
29_0_0_0_14_0,0.691563063063063,0.1167342342342347,1.8287533783783785,0.1789695945945957,1.6089227272727271
29_0_0_0_15_0,0.691563063063063,0.1167342342342347,0.5994222972972976,0.1683445945945947,0.9321045454545458
29_0_0_0_1_0,0.691563063063063,0.1167342342342347,1.510864864864864,0.1585439189189208,1.2063943181818182
29_0_0_0_24_14,0.691563063063063,0.1167342342342347,3.486452702702703,0.8746114864864873,2.4046857142857148
29_0_0_0_24_29,0.691563063063063,0.1167342342342347,3.461388513513514,0.860672297297298,2.149451136363636
29_0_0_0_29_37,0.691563063063063,0.1167342342342347,3.2686148648648645,0.3666993243243261,1.9973034090909092
29_0_0_0_34_0,0.691563063063063,0.1167342342342347,1.606858108108108,0.2658817567567575,1.6045647727272732
29_0_0_0_9_0,0.691563063063063,0.1167342342342347,2.109983108108107,0.1584898648648667,1.4280628571428577
29_13_37_26_4_36,2.932685810810811,1.4372331081081084,2.7986554054054062,0.5954324324324318,7.323246590909091
29_16_1_1_0_0,2.1894335585585587,0.3237995495495503,0.0,0.0,3.5361045454545454
29_20_0_0_10_0,1.2494695945945946,0.3159256756756762,2.2088547297297296,0.2858918918918927,3.095598863636364
29_20_11_0_2_0,2.0157871621621624,0.43982432432432517,2.0528716216216214,0.2920878378378382,4.552695454545455
29_20_30_7_6_0,2.8097972972972975,0.8385810810810816,1.4536959459459462,0.3274358108108104,5.612292045454546
29_23_1_35_0_0,2.2270754504504504,0.7582995495495497,0.0,0.0,3.5131727272727273
29_28_0_0_26_34,1.459386261261261,0.308022522522524,3.628239864864865,1.6891891891891904,4.967537142857143
29_2_0_0_0_0,1.3877646396396397,0.422715090090091,0.0,0.0,2.980581818181818
29_2_9_30_14_0,3.058296171171171,0.9680855855855873,1.8287533783783785,0.1789695945945957,7.21761590909091
29_32_32_6_0_0,3.637801801801801,1.8222319819819854,0.0,0.0,5.5377125000000005
29_33_5_0_0_0,1.9546171171171172,0.38522072072072144,0.0,0.0,3.8296954545454556
29_34_0_0_21_0,1.5906756756756755,0.3439864864864875,0.599618243243242,0.8082297297297321,3.106411363636364
29_36_22_16_25_3,2.487804054054054,0.4756114864864875,2.4827702702702696,0.39971283783783906,5.297184090909091
29_6_0_0_7_0,1.1809279279279277,0.40964639639639727,1.841902027027026,0.1646351351351369,3.1596670454545457
29_7_35_0_29_10,2.0257004504504503,0.5338873873873877,4.012543918918919,0.450922297297299,5.660502272727272
29_7_38_8_0_0,3.1520540540540543,0.812432432432433,0.0,0.0,5.616843181818182
2_0_0_0_0_0,0.6962015765765767,0.3059808558558563,0.0,0.0,0.8086784090909092
2_0_0_0_13_0,0.6962015765765767,0.3059808558558563,1.7850506756756754,0.171020270270271,1.6717522727272733
2_0_0_0_19_1,0.6962015765765767,0.3059808558558563,1.7860878378378366,0.9275371621621646,1.711178409090909
2_0_0_0_20_0,0.6962015765765767,0.3059808558558563,1.87335472972973,-0.4699932432432434,1.254172727272727
2_0_0_0_25_36,0.6962015765765767,0.3059808558558563,1.5801554054054057,0.5404763513513515,1.8289909090909093
2_0_0_0_30_0,0.6962015765765767,0.3059808558558563,1.9898378378378376,0.3204189189189192,1.621445454545455
2_0_0_0_33_0,0.6962015765765767,0.3059808558558563,1.4760168918918923,0.1777195945945942,1.5961784090909097
2_0_0_0_7_0,0.6962015765765767,0.3059808558558563,1.841902027027026,0.1646351351351369,1.5191784090909088
2_0_0_0_9_0,0.6962015765765767,0.3059808558558563,2.109983108108107,0.1584898648648667,1.633104545454545
2_12_26_0_8_0,2.1492646396396395,1.6913772522522534,2.232209459459459,0.3432162162162169,6.97743409090909
2_14_0_0_23_5,1.6369605855855855,0.5348502252252265,2.0363648648648653,0.3292195945945941,3.7689771428571426
2_14_37_35_2_0,2.8955045045045047,1.0042150900900912,2.0528716216216214,0.2920878378378382,5.887275
2_1_7_25_15_8,2.5136981981981985,0.8203119369369375,2.8316317567567566,0.5115608108108116,6.5018659090909106
2_21_28_11_0_0,2.7660540540540537,0.7025777027027046,0.0,0.0,4.651809090909091
2_23_0_0_15_0,1.0645056306306309,0.5771599099099101,0.5994222972972976,0.1683445945945947,1.815388636363636
2_23_0_0_17_15,1.0645056306306309,0.5771599099099101,1.939667579019698,0.3814959230416858,2.4290875000000005
2_25_19_0_0_0,1.592302927927928,0.7159031531531541,0.0,0.0,2.4032999999999998
2_26_23_2_24_1,2.409695945945946,1.8874155405405415,3.1685641891891887,0.8541858108108125,6.528309090909093
2_29_0_0_1_5,1.3877646396396397,0.422715090090091,3.0046418918918913,0.3009020270270283,3.909030681818182
2_30_15_29_0_0,2.5457535234386928,0.8521953657046895,0.0,0.0,4.452877272727274
2_32_0_0_6_0,1.9246385135135133,1.0122736486486503,1.4536959459459462,0.3274358108108104,3.4985647727272733
2_35_17_18_15_0,2.525813257749275,0.7798387692777526,0.5994222972972976,0.1683445945945947,4.4840857142857145
2_38_20_0_38_10,1.9650000000000003,0.6834695945945949,3.7127331081081074,0.4275743243243264,5.542019318181818
2_3_18_11_21_0,2.930028347839365,0.6733804359444198,0.599618243243242,0.8082297297297321,5.6451102272727285
2_9_22_0_0_0,2.431502252252252,0.5416734234234246,0.0,0.0,4.920752272727273
30_0_0_0_0_0,0.813394144144144,0.3872038288288291,0.0,0.0,1.0101386363636369
30_0_0_0_21_35,0.813394144144144,0.3872038288288291,1.579195945945945,1.127996621621624,2.0514397727272735
30_0_0_0_22_0,0.813394144144144,0.3872038288288291,2.855277027027027,-0.9534290540540532,1.5870420454545453
30_0_0_0_37_38,0.813394144144144,0.3872038288288291,2.9688040540540532,0.34335135135135353,2.2755931818181825
30_0_0_0_6_0,0.813394144144144,0.3872038288288291,1.4536959459459462,0.3274358108108104,1.4339314285714284
30_12_12_18_22_20,3.048171365857383,1.252105661169645,4.728631756756757,-1.4234222972972965,6.313167045454546
30_13_0_0_0_0,1.734188063063063,0.5157646396396398,0.0,0.0,2.957621590909091
30_13_25_31_0_0,3.0649662162162157,1.0154763513513525,0.0,0.0,4.468718181818183
30_17_0_0_18_26,1.4291734234234235,0.47670157657657686,3.3792060810810813,1.6117195945945948,4.594218181818182
30_20_9_0_32_31,2.228438063063063,0.7445619369369378,2.9400642464498397,0.7318748854786996,7.114632954545452
30_25_6_0_32_0,1.7933175675675672,0.9703108108108118,1.7044628378378377,0.5414932432432438,4.810394318181818
30_27_15_0_23_19,1.9191679378531068,0.625007302641626,0.8178108108108106,0.9558547297297304,4.129468181818182
30_29_0_0_2_4,1.504957207207207,0.5039380630630638,3.9436148648648652,0.5702837837837835,4.672030681818183
30_2_0_0_0_0,1.5095957207207207,0.6931846846846854,0.0,0.0,3.1845647727272732
30_32_15_20_0_0,2.944332352267521,1.334964509848834,0.0,0.0,4.2843542857142864
30_33_0_0_33_23,1.6130664414414415,0.5832578828828829,2.0186047297297303,0.3645810810810808,3.9307920454545453
30_37_1_30_2_22,2.8781328828828827,1.050755630630631,4.908148648648648,-0.661341216216215,6.398371590909091
31_0_0_0_0_0,0.8402195945945944,0.2095168918918926,0.0,0.0,0.8409340909090912
